cgpa,iq,communication,internship,placed
5.0,109,8,0,0
6.8,86,4,0,0
9.4,130,8,1,1
9.5,116,9,1,1
7.8,143,10,1,1
8.5,88,9,1,1
5.2,94,9,0,1
9.9,109,5,0,1
5.3,105,6,0,0
6.4,88,7,1,0
8.3,138,7,1,1
6.7,111,7,1,1
8.2,104,6,1,1
6.1,125,5,1,1
9.2,134,7,1,1
8.7,119,5,0,1
8.7,113,4,1,1
9.7,129,8,0,1
5.5,110,9,0,1
6.5,95,6,1,1
8.0,100,7,0,0
9.5,130,10,0,1
7.3,133,5,0,0
7.4,133,4,0,0
7.0,89,4,1,0
5.8,93,5,1,0
7.7,105,9,0,1
8.5,103,8,1,1
9.2,105,6,0,1
6.9,100,7,0,0
5.7,109,8,1,1
8.1,139,9,0,1
6.7,126,9,0,1
6.4,127,5,0,1
9.2,127,7,0,1
7.9,81,6,0,0
6.1,83,8,0,1
8.4,109,5,0,1
5.8,115,10,0,1
5.9,110,5,0,1
8.5,131,7,1,1
10.0,93,7,1,1
10.0,124,8,0,1
5.1,86,10,0,0
7.6,125,9,1,1
9.6,82,7,0,1
8.1,123,8,0,1
6.3,95,9,1,1
8.6,99,5,1,1
5.8,83,8,1,0
7.4,100,6,1,1
6.6,107,8,1,0
8.0,80,9,1,1
5.5,104,7,0,0
6.7,130,9,1,1
7.6,86,5,1,1
5.1,118,5,0,0
6.5,115,4,1,1
5.5,107,5,1,1
6.9,105,10,0,1
7.2,105,8,0,0
8.1,108,9,1,1
5.6,107,8,0,0
6.0,126,9,1,1
7.1,118,8,0,1
7.1,118,4,0,1
7.7,137,4,0,1
5.7,114,4,0,0
8.9,142,9,1,1
6.1,120,9,0,1
6.7,145,7,0,1
6.6,107,9,0,0
6.5,104,6,0,1
5.1,100,7,1,1
5.5,124,8,0,0
8.9,123,7,0,1
7.8,132,8,0,1
6.4,102,10,0,0
9.6,94,7,1,1
7.9,89,6,0,1
9.2,141,9,1,1
9.5,132,4,1,1
5.2,113,8,0,1
9.5,81,6,0,1
7.3,135,4,1,1
6.4,104,10,1,1
6.8,86,6,0,1
9.9,83,9,1,0
6.9,123,8,1,1
8.0,111,9,0,1
7.8,123,10,0,1
6.2,94,9,0,1
9.6,104,5,1,1
8.4,93,6,0,1
5.5,145,9,0,1
7.9,132,8,0,1
7.1,95,9,0,1
6.3,99,10,1,1
9.6,103,7,0,1
7.1,85,8,0,0
8.8,125,8,0,1
9.4,96,7,0,1
5.4,134,9,0,1
5.4,128,5,0,0
5.8,120,4,0,0
9.8,101,9,1,1
6.8,94,6,1,1
9.4,93,10,0,1
6.8,126,8,0,1
7.6,145,6,1,1
9.4,107,9,1,1
8.7,108,6,0,1
7.6,132,6,0,1
7.9,112,10,0,1
9.3,87,8,0,1
6.1,138,7,0,1
6.3,125,6,1,1
5.5,92,5,1,0
7.4,101,8,0,1
7.4,112,8,0,1
5.5,91,9,0,0
7.9,138,9,1,1
6.1,82,8,1,0
9.9,95,5,0,1
5.8,144,5,1,1
7.5,130,5,0,1
9.7,118,10,0,1
5.3,141,9,0,1
8.6,133,10,0,1
9.7,133,5,0,0
9.3,105,9,1,1
6.2,132,5,0,1
5.2,113,9,1,1
8.1,126,6,1,1
7.4,127,6,1,1
6.8,94,5,1,1
5.5,112,5,1,1
5.0,140,7,1,1
7.4,97,5,1,1
6.7,88,6,0,1
9.3,83,8,1,1
9.6,130,8,0,1
7.8,97,10,1,0
5.5,140,4,0,1
6.3,85,10,0,0
9.1,138,8,1,1
7.0,117,7,0,0
9.3,138,9,1,1
7.5,84,6,0,1
9.0,142,7,1,1
6.9,100,5,1,1
8.3,87,7,0,1
9.9,130,7,1,1
5.7,93,10,1,1
9.6,134,7,0,0
9.7,109,7,0,1
8.0,107,6,1,1
8.2,98,6,0,1
6.4,105,4,1,1
7.3,127,4,0,1
7.5,105,6,1,1
7.6,135,4,1,0
7.6,117,6,0,0
6.8,112,5,0,1
7.1,122,4,0,1
5.1,141,9,0,1
7.5,83,9,1,1
8.2,129,5,1,1
7.9,127,8,0,1
9.9,131,5,1,1
6.8,138,6,0,1
9.9,144,8,0,1
9.4,97,5,0,1
9.8,138,9,1,1
8.1,133,7,1,1
7.8,84,9,1,1
5.8,133,8,0,1
9.1,125,9,1,1
9.0,144,5,0,1
6.1,105,8,1,1
5.7,86,6,1,0
10.0,114,8,1,1
7.5,85,9,0,1
5.4,138,8,1,1
7.8,137,8,0,1
9.9,90,9,1,1
5.9,91,8,1,1
8.5,118,7,0,1
5.6,82,6,1,0
6.6,122,4,1,1
8.9,82,4,0,0
8.6,84,6,0,1
5.2,89,7,1,1
6.1,131,6,0,0
8.4,139,5,1,1
9.4,118,6,1,1
9.9,108,7,1,1
6.3,96,6,1,0
5.6,144,4,0,1
5.2,144,9,0,1
8.4,112,9,1,1
9.6,89,5,1,1
9.0,136,9,0,1
7.0,143,10,0,1
6.6,129,10,0,1
8.1,98,5,1,1
7.0,96,9,0,1
8.7,104,4,0,1
8.3,111,9,1,1
8.1,134,9,1,1
9.6,141,9,1,1
5.2,133,4,0,1
8.0,120,7,1,1
9.5,107,7,0,1
7.7,122,7,0,1
5.0,86,9,0,0
6.4,93,5,1,1
9.9,125,10,1,1
7.9,104,5,1,1
5.7,124,8,0,1
9.9,93,9,0,1
9.6,133,6,0,1
6.1,123,5,1,1
7.4,96,10,0,1
5.6,97,8,1,1
9.6,88,8,1,1
8.3,144,6,1,1
7.5,103,6,0,0
8.6,130,9,0,0
8.7,88,8,1,1
5.2,108,5,0,0
5.6,134,9,1,1
8.2,138,9,1,1
9.5,85,8,1,1
6.5,99,10,1,1
5.5,108,10,1,0
6.8,91,5,1,0
7.7,142,8,1,1
8.2,83,7,0,1
9.5,108,7,1,1
6.1,118,8,1,1
7.4,98,4,1,1
9.7,137,5,0,1
6.2,143,5,0,1
6.1,107,6,0,0
9.5,129,6,1,1
7.2,111,10,0,1
5.9,120,9,0,1
9.6,109,5,0,0
10.0,89,7,1,1
7.0,132,7,1,1
7.0,121,7,0,0
5.1,104,9,0,0
5.4,131,6,0,1
5.4,93,7,1,1
9.5,96,9,0,1
9.5,124,6,0,0
5.5,129,4,0,0
5.6,108,6,0,0
9.8,125,9,0,1
9.8,99,6,0,1
9.2,113,8,1,1
6.0,94,7,0,1
8.1,121,9,1,1
8.2,100,8,1,1
7.5,103,7,0,1
9.2,117,6,0,1
9.4,94,7,1,1
8.1,132,7,1,1
5.4,126,9,0,1
7.0,81,9,0,1
7.0,128,7,1,1
8.7,108,10,0,1
7.3,92,6,0,1
8.7,86,6,1,1
6.0,131,5,1,1
7.0,107,5,0,0
8.8,85,7,0,1
6.8,86,7,0,0
9.2,127,8,1,1
8.6,112,8,0,1
6.7,128,9,0,0
8.4,128,7,1,1
8.0,98,7,0,0
6.8,114,9,0,1
8.2,91,4,1,0
8.0,118,9,1,1
9.7,104,8,0,1
5.6,145,6,0,0
6.9,85,6,0,0
9.6,136,8,0,1
5.2,122,6,0,0
5.3,140,4,1,1
6.2,124,4,0,0
8.1,96,9,0,0
5.5,96,7,1,0
5.1,110,6,1,1
5.2,100,8,0,1
5.2,103,6,0,0
9.9,99,5,1,1
7.8,90,6,1,1
8.1,80,7,1,1
5.7,117,8,0,1
5.4,106,4,1,1
5.9,93,8,0,1
7.0,125,10,0,1
7.5,100,9,0,0
9.9,99,6,0,1
7.6,114,5,1,1
9.0,140,7,0,1
7.2,90,9,0,1
6.6,122,7,0,1
9.6,145,9,1,0
6.6,97,9,0,1
7.3,134,6,1,1
5.7,117,4,0,0
8.9,136,9,1,1
5.4,144,7,0,1
8.2,105,4,1,1
9.0,124,7,1,1
8.9,101,8,1,1
7.9,107,7,0,1
6.5,132,5,0,0
7.6,104,4,0,0
8.4,138,5,1,1
5.2,118,6,0,0
7.4,114,8,1,1
9.1,83,5,0,1
5.8,137,6,1,1
7.2,92,9,0,1
5.8,85,8,0,1
7.3,118,5,1,0
8.4,143,9,1,1
8.3,90,5,1,1
8.5,132,5,0,1
10.0,101,7,1,1
7.1,138,5,0,0
5.9,83,7,0,0
7.7,134,5,0,0
5.9,116,7,0,0
8.3,115,8,0,1
5.7,86,4,1,1
9.4,113,8,0,1
7.6,99,8,1,1
7.4,85,9,0,1
6.7,144,4,1,1
6.0,128,9,0,0
8.2,104,5,0,1
9.5,100,6,1,1
9.5,123,8,1,1
8.9,140,5,1,1
9.4,121,6,0,1
6.4,91,6,0,1
8.3,82,6,1,1
6.8,111,8,0,1
6.1,98,6,1,0
7.8,105,10,1,1
5.8,81,5,0,0
5.5,128,6,1,0
7.2,112,10,0,1
7.7,114,8,0,0
7.9,133,9,0,1
9.2,142,10,0,1
8.0,113,10,0,0
9.3,105,4,1,1
8.6,117,7,1,1
6.5,123,9,0,1
9.4,112,7,1,1
8.3,140,9,0,1
8.0,120,5,1,1
5.9,96,7,0,1
8.4,95,5,1,1
9.9,111,10,1,1
8.0,112,10,0,1
6.8,114,8,0,1
6.9,123,7,0,1
8.4,110,7,1,0
7.1,88,9,0,0
8.2,142,4,0,1
6.3,116,10,1,1
6.1,127,5,0,0
9.6,104,7,1,1
6.2,131,7,0,1
6.0,96,7,1,1
5.2,121,6,0,0
8.7,80,4,1,1
5.7,110,6,0,0
5.1,127,5,0,1
9.0,129,7,1,1
5.9,140,8,0,1
9.9,119,7,1,1
5.3,126,10,1,1
6.5,93,7,1,1
7.3,112,8,0,1
8.5,144,5,1,1
5.7,103,4,1,0
5.2,112,10,0,1
6.9,136,6,0,0
8.0,136,4,0,1
10.0,110,5,1,1
8.1,116,10,1,1
8.1,96,8,1,1
5.6,85,8,0,0
9.6,86,4,1,1
7.7,113,6,1,1
6.5,128,8,0,1
9.6,144,5,1,1
7.7,97,7,0,0
9.9,136,7,1,1
5.5,141,10,0,1
5.7,95,5,0,1
9.1,127,8,0,0
6.9,123,9,0,0
6.2,82,5,0,0
5.0,120,7,0,1
5.1,126,5,1,1
9.9,92,7,0,1
6.0,143,8,1,1
8.8,108,9,0,1
6.8,139,8,1,1
9.5,125,8,1,1
9.7,128,9,1,1
8.6,137,10,1,1
7.6,111,8,1,1
5.8,138,5,1,1
6.2,121,10,1,1
6.4,144,10,0,1
8.1,116,4,0,0
8.1,132,5,1,1
6.3,107,9,1,1
7.5,134,9,0,1
8.3,145,6,1,1
5.4,113,9,0,0
9.9,107,4,1,1
9.3,100,8,1,1
5.6,107,8,0,0
8.2,89,9,0,1
5.8,98,6,0,1
5.5,96,8,1,1
9.9,113,5,1,1
5.4,98,8,0,0
9.4,127,6,1,1
8.8,119,6,0,1
8.1,89,7,1,1
8.6,90,8,0,0
9.0,133,10,0,1
9.5,123,9,1,1
7.3,118,5,0,1
7.9,116,6,1,1
9.3,96,6,1,1
6.7,144,7,1,1
8.9,92,5,0,1
9.6,99,6,1,1
5.4,122,4,1,0
6.1,102,7,0,0
6.4,95,10,1,1
9.6,138,4,1,1
8.9,134,5,1,1
8.3,103,7,1,0
7.6,132,6,0,1
6.8,81,5,0,0
8.0,118,6,0,1
7.3,134,6,1,1
5.4,123,10,0,0
8.8,85,5,1,1
6.1,100,9,0,1
6.9,100,8,0,1
8.3,134,5,1,1
6.9,87,8,1,0
7.9,127,8,0,1
9.0,122,7,1,1
5.1,85,8,0,0
5.8,144,5,1,1
8.7,122,9,0,0
7.2,117,10,0,1
5.5,86,5,0,1
9.8,94,6,1,1
6.5,145,10,0,1
6.6,109,9,1,0
9.6,134,10,0,1
8.0,145,8,0,1
5.5,92,8,0,1
8.7,101,6,0,1
9.3,122,6,0,1
5.3,86,9,1,1
7.8,128,8,1,1
7.6,84,7,0,1
6.1,102,6,0,1
6.4,143,6,1,1
9.3,81,4,1,1
8.7,130,7,0,1
8.8,83,8,1,1
7.1,144,10,0,1
9.5,136,8,0,0
9.0,106,6,0,0
8.3,104,5,1,1
7.5,102,8,0,0
7.2,119,6,0,1
9.4,104,7,0,1
8.7,90,9,0,1
5.9,107,8,0,0
8.3,87,7,0,0
8.9,106,8,1,1
8.9,83,7,1,1
5.7,118,5,0,0
6.3,82,9,0,0
6.1,93,9,0,0
9.1,80,9,1,1
9.7,114,6,1,1
7.7,141,5,0,1
8.3,111,7,1,1
8.5,106,4,0,1
8.4,134,5,1,1
9.2,115,7,1,1
9.5,97,6,0,1
9.0,91,5,0,1
6.5,112,6,0,0
5.8,80,6,0,0
7.3,135,9,1,1
6.0,118,7,0,0
9.4,81,10,0,1
6.8,118,7,1,1
8.9,96,5,0,1
7.8,93,10,0,1
6.8,121,9,1,1
7.4,109,8,1,1
7.0,131,9,0,1
5.1,83,4,0,0
6.1,83,7,1,0
9.3,122,7,1,1
5.5,145,10,1,1
9.4,118,4,0,1
10.0,145,8,0,1
6.1,130,8,0,1
9.4,105,5,1,1
9.3,85,7,1,1
6.4,86,4,1,0
5.0,101,7,0,1
8.1,128,10,1,1
7.4,84,6,1,1
5.4,126,6,0,0
5.4,80,8,0,1
10.0,103,5,1,1
8.9,86,4,1,1
7.9,80,8,1,1
8.2,98,6,0,1
8.6,126,9,0,1
5.1,112,8,0,0
9.7,141,8,0,1
6.1,140,5,0,1
7.0,141,7,0,0
9.4,83,5,0,0
7.2,137,5,0,0
6.9,107,6,0,0
9.0,126,9,0,1
9.0,142,8,1,1
9.0,106,6,1,1
7.9,132,5,1,0
6.1,108,9,0,1
6.7,141,8,0,1
9.3,85,8,1,1
8.2,125,4,0,1
7.7,130,7,1,1
7.4,137,9,0,1
9.8,91,10,0,1
6.1,127,10,1,1
5.3,128,7,0,0
6.1,131,6,1,1
9.6,119,6,1,1
7.9,110,6,1,1
5.3,88,4,1,0
7.2,95,9,0,1
7.6,145,8,0,1
9.5,121,8,0,1
9.8,89,6,1,1
6.5,104,4,0,0
8.9,90,5,0,0
5.0,107,4,0,0
8.3,103,9,0,1
5.9,84,4,1,1
8.7,105,4,1,1
9.9,107,4,0,0
9.7,115,5,1,1
5.1,80,5,0,0
7.0,83,9,0,1
7.3,132,8,0,1
7.0,82,8,0,1
8.0,109,8,1,1
9.4,143,10,0,1
7.5,88,8,1,1
5.3,140,5,0,1
8.4,96,5,1,1
6.0,90,7,1,0
5.2,109,5,0,0
5.4,82,6,1,0
9.9,84,5,0,1
5.3,106,7,0,1
8.5,122,8,0,1
5.7,128,7,0,1
9.8,95,8,1,1
6.7,142,9,0,1
5.1,83,9,0,0
5.2,103,7,0,1
6.4,105,6,0,1
9.2,137,6,1,1
9.2,111,5,0,1
9.7,97,7,0,1
6.5,91,8,1,1
6.8,137,7,0,1
7.4,93,5,0,1
5.5,83,8,0,0
9.5,136,4,0,1
9.6,85,10,1,1
6.6,130,10,0,1
5.4,80,9,1,1
8.4,112,4,1,1
9.3,108,9,0,1
8.7,125,4,0,1
6.5,116,7,1,0
5.9,133,9,0,0
9.1,91,10,1,1
5.9,133,9,1,0
8.5,127,8,0,1
6.2,88,9,0,0
9.5,105,5,0,0
5.8,118,7,0,1
7.7,137,10,0,1
6.7,106,7,1,0
5.5,116,5,0,0
7.3,116,8,1,1
8.2,117,9,0,1
6.3,141,7,0,1
6.9,139,10,0,1
6.5,111,5,1,1
6.5,106,10,0,1
8.6,115,10,0,1
6.4,133,5,1,1
6.3,139,4,0,0
6.8,135,10,1,1
9.2,132,10,1,1
8.7,81,6,1,1
8.3,114,7,1,1
7.1,131,7,0,0
9.3,127,6,0,1
5.2,128,9,0,0
9.1,106,10,0,1
7.4,127,10,0,1
7.1,113,7,0,1
8.9,99,7,0,1
5.9,137,6,0,0
7.6,138,10,1,1
9.9,107,4,1,1
6.8,91,9,0,0
8.4,106,7,0,1
6.0,143,8,1,1
6.9,109,6,1,1
6.7,132,6,0,1
9.2,142,8,0,0
6.4,136,4,1,1
8.8,99,5,0,1
6.5,83,9,0,1
7.0,122,7,1,1
9.7,108,4,1,1
6.3,117,6,0,1
6.1,84,8,1,1
8.1,130,6,0,1
6.7,136,9,1,1
6.6,80,6,1,1
7.2,145,7,0,1
9.4,96,6,1,1
7.5,94,8,1,1
9.5,102,10,1,1
8.9,110,7,1,1
6.1,128,8,0,1
6.5,127,7,0,0
5.2,102,8,1,1
6.1,91,7,0,1
5.3,136,8,1,1
5.8,117,5,0,1
9.2,116,9,0,1
9.7,110,6,1,1
6.5,140,10,1,1
6.9,82,6,1,1
7.1,117,8,0,1
8.0,126,7,0,1
7.8,111,8,1,1
9.2,88,10,1,1
9.3,87,7,0,1
7.9,143,8,0,1
6.4,111,4,1,1
8.6,92,9,0,0
9.3,101,8,1,1
9.0,130,10,1,1
6.3,115,8,0,0
5.1,133,7,0,0
7.7,116,6,0,0
8.1,106,5,1,1
5.9,113,8,0,1
6.5,135,7,0,1
5.7,89,5,0,0
7.5,111,6,1,1
5.6,110,6,1,0
8.7,105,7,0,1
5.7,126,6,0,0
5.4,131,8,0,1
7.1,85,8,0,1
8.9,87,7,0,0
9.1,97,5,1,1
9.8,122,9,0,1
8.5,119,7,0,1
5.5,105,4,0,0
9.7,118,8,1,1
9.0,119,6,0,1
5.3,116,7,0,0
6.9,108,7,1,1
8.6,135,7,0,0
8.7,114,7,0,1
8.2,102,6,1,1
6.4,104,6,1,1
5.7,90,9,0,1
7.5,93,5,0,0
6.3,124,7,0,1
8.2,82,9,0,1
7.3,126,9,1,1
6.6,122,9,0,0
6.0,107,8,1,1
6.0,129,9,0,1
8.3,137,8,0,1
8.2,88,5,0,1
8.8,131,8,0,1
8.4,104,9,0,0
9.5,96,8,1,1
8.6,116,6,1,1
9.9,108,8,0,1
6.0,95,9,1,1
6.2,90,6,1,0
9.2,145,6,1,1
7.0,87,9,0,0
6.3,109,8,1,1
7.4,95,8,1,1
6.1,144,6,0,1
8.8,106,5,0,1
7.4,130,9,1,1
5.5,85,8,1,0
5.2,102,7,1,1
6.8,82,10,1,1
8.8,82,5,0,0
5.4,86,8,0,1
9.5,125,5,1,1
8.1,106,5,1,1
5.1,112,6,1,0
9.1,83,8,1,1
8.2,96,4,1,1
9.0,83,4,0,0
6.7,126,6,0,1
